                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6544,                 3.9527,                 3.5623,                 1.3779,                0.07767,                 0.1061,                0.06144,                0.02387,                0.08165,                  0.069,                0.05445,                 0.0167,                 2.6067,                 3.9044,                 2.9179,                 1.4079,               0.067098,             0.00033234,             0.00033234
                      2,                  2.664,                 3.7777,                 3.0698,                 1.4016,                0.18256,                0.15929,                0.09508,                0.03379,                 0.1855,                0.15559,                0.09315,                0.03094,                 2.5988,                 3.7274,                 2.4428,                 1.3922,               0.034054,             0.00062174,             0.00062174
                      3,                 2.7241,                  3.907,                 3.0444,                 1.3889,                0.13271,                0.09511,                0.07639,                0.02861,                0.14058,                0.09351,                0.07347,                0.02432,                 2.6753,                 3.7371,                 2.6517,                 1.4211,             0.00096635,             0.00086714,             0.00086714
                      4,                 2.6463,                  3.796,                 2.9094,                 1.4098,                0.03894,                0.18735,                0.03095,                 0.0122,                0.03428,                0.17439,                0.02771,                0.01015,                 2.6978,                 3.7789,                 9.3986,                 1.3958,               0.000802,               0.000802,               0.000802
                      5,                 2.6277,                 3.8018,                 2.8117,                 1.3458,                0.11632,                0.11449,                0.08538,                0.03144,                0.09998,                0.10529,                 0.0785,                0.02627,                 2.6709,                 3.7121,                  5.371,                 1.4246,               0.000736,               0.000736,               0.000736
                      6,                 2.6566,                 3.7843,                 3.2189,                 1.3138,                0.39696,                0.09297,                0.08614,                0.03289,                0.38754,                0.08935,                0.08383,                0.02796,                 2.6908,                 3.7338,                 2.6754,                 1.4406,                0.00067,                0.00067,                0.00067
                      7,                 2.6153,                 3.7139,                 2.8222,                 1.2775,                0.31539,                0.12703,                 0.0916,                0.03362,                0.27116,                0.12123,                0.08717,                0.02781,                 2.6968,                 3.6386,                 2.4744,                  1.449,               0.000604,               0.000604,               0.000604
                      8,                 2.6081,                 3.7548,                 2.7138,                 1.2893,                0.13755,                0.15736,                0.10465,                0.03809,                 0.1402,                 0.1532,                0.09987,                0.03491,                 2.6075,                 3.5388,                 2.5151,                 1.3991,               0.000538,               0.000538,               0.000538
                      9,                 2.5509,                 3.6067,                  2.611,                 1.2656,                0.15495,                0.16472,                0.09779,                0.03642,                0.17381,                0.15395,                0.09496,                0.03449,                 2.5994,                 3.5264,                 2.3786,                 1.4486,               0.000472,               0.000472,               0.000472
                     10,                 2.5341,                 3.5473,                 2.5567,                 1.2726,                0.14598,                 0.1415,                0.10518,                0.03888,                0.14191,                0.13108,                 0.0989,                0.03291,                 2.5449,                 3.5441,                 2.3076,                 1.3885,               0.000406,               0.000406,               0.000406
                     11,                 2.5431,                 3.5334,                 2.5207,                  1.277,                0.15474,                0.13894,                0.10278,                0.04083,                0.14456,                0.13238,                0.09278,                0.03286,                 2.5193,                 3.4735,                 2.3943,                 1.3891,                0.00034,                0.00034,                0.00034
                     12,                 2.5252,                 3.5229,                 2.3773,                 1.2322,                0.13772,                0.17627,                0.11776,                0.04474,                0.13345,                0.17387,                0.11389,                0.04149,                 2.4974,                 3.4317,                 2.2001,                 1.3956,               0.000274,               0.000274,               0.000274
                     13,                 2.5386,                 3.6061,                 2.3874,                 1.2551,                0.14908,                0.15848,                 0.1136,                0.04484,                0.15385,                 0.1507,                0.10794,                0.03654,                 2.5331,                 3.4572,                 2.2936,                 1.3922,               0.000208,               0.000208,               0.000208
                     14,                 2.4844,                  3.576,                  2.308,                 1.2538,                0.14615,                0.16421,                0.11971,                0.04621,                0.14921,                0.16585,                0.11921,                0.04151,                 2.5029,                 3.4194,                 2.2587,                 1.3847,               0.000142,               0.000142,               0.000142
                     15,                 2.4946,                 3.5148,                 2.2988,                 1.2699,                0.14827,                0.17961,                0.11792,                0.04636,                0.14716,                0.17315,                0.11171,                0.04009,                 2.4691,                 3.3917,                  2.293,                 1.3814,                7.6e-05,                7.6e-05,                7.6e-05
