                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5538,                 3.8593,                 3.4485,                 1.3287,                0.10769,                0.11793,                0.06963,                0.02619,                0.09833,                0.10834,                0.06471,                0.02255,                 2.4816,                  3.514,                 2.6802,                 1.2637,               0.066799,             3.3234e-05,             3.3234e-05
                      2,                 2.4433,                 3.5301,                 2.8171,                 1.3094,                0.10902,                0.18243,                0.11059,                0.04355,                0.10111,                0.17423,                0.10676,                0.03863,                 2.3939,                 3.3518,                 2.2745,                  1.295,               0.033495,             6.2174e-05,             6.2174e-05
                      3,                 2.4513,                 3.5582,                 2.6235,                 1.2824,                0.13963,                0.18538,                0.11799,                0.04657,                0.13948,                0.17167,                0.11387,                0.03958,                 2.4125,                 3.4135,                 2.1319,                 1.3163,             0.00018592,             8.6714e-05,             8.6714e-05
                      4,                 2.3897,                 3.4624,                 2.4407,                  1.289,                0.15837,                0.17725,                0.12112,                0.05136,                 0.1591,                0.15964,                0.11067,                 0.0417,                 2.3237,                 3.2653,                 2.1963,                 1.2861,               8.02e-05,               8.02e-05,               8.02e-05
                      5,                 2.3929,                 3.4552,                 2.3599,                  1.258,                0.16393,                0.18702,                0.13712,                0.05656,                0.15945,                0.18275,                0.13157,                0.04961,                 2.3448,                 3.2547,                 2.0853,                 1.2886,               7.36e-05,               7.36e-05,               7.36e-05
                      6,                 2.4343,                 3.4314,                 2.6898,                 1.2213,                0.24157,                0.16891,                0.13552,                0.05718,                0.22871,                0.16259,                0.12868,                0.04788,                 2.3218,                 3.2943,                 2.2643,                 1.2811,                6.7e-05,                6.7e-05,                6.7e-05
                      7,                 2.3768,                 3.3308,                 2.5101,                 1.1842,                0.17727,                0.18044,                0.13105,                0.05399,                0.16835,                0.16178,                0.11974,                0.04129,                  2.345,                  3.219,                 2.1697,                  1.262,               6.04e-05,               6.04e-05,               6.04e-05
                      8,                 2.3404,                 3.3259,                 2.3906,                 1.1859,                0.19168,                0.16529,                0.13764,                0.05744,                0.19632,                0.15752,                0.12989,                0.04836,                 2.2894,                 3.2028,                 2.1674,                 1.2594,               5.38e-05,               5.38e-05,               5.38e-05
                      9,                 2.2897,                 3.1952,                 2.2513,                 1.1577,                0.19332,                0.18222,                0.13258,                 0.0579,                0.17505,                0.17448,                0.12582,                0.04885,                 2.2932,                 3.2266,                 2.1426,                  1.239,               4.72e-05,               4.72e-05,               4.72e-05
                     10,                 2.3041,                 3.1835,                 2.2071,                 1.1754,                0.15591,                0.19442,                0.14254,                0.06052,                0.15869,                0.18956,                0.14135,                0.05167,                 2.2832,                  3.212,                 2.0167,                 1.2482,               4.06e-05,               4.06e-05,               4.06e-05
                     11,                 2.2924,                 3.2072,                 2.1601,                 1.1905,                0.16041,                0.22249,                0.14943,                0.06235,                0.16517,                0.21732,                0.14771,                 0.0534,                 2.2959,                 3.1837,                  1.943,                 1.2575,                3.4e-05,                3.4e-05,                3.4e-05
                     12,                 2.2548,                 3.2051,                 2.0779,                 1.1334,                0.17267,                0.22976,                0.14241,                0.06059,                0.17985,                0.21076,                0.13285,                0.05035,                 2.2751,                 3.1683,                 1.9629,                  1.246,               2.74e-05,               2.74e-05,               2.74e-05
                     13,                 2.3121,                 3.3314,                 2.0692,                 1.1657,                0.18557,                0.19815,                0.13779,                0.06045,                0.19614,                0.17887,                0.13339,                0.04902,                 2.2649,                 3.1592,                 2.0656,                 1.2407,               2.08e-05,               2.08e-05,               2.08e-05
                     14,                 2.2329,                 3.3077,                 2.0358,                 1.1518,                0.16911,                  0.226,                 0.1423,                 0.0612,                0.16592,                0.21588,                0.13659,                0.04937,                 2.2644,                 3.1479,                 2.0016,                 1.2267,               1.42e-05,               1.42e-05,               1.42e-05
                     15,                 2.2601,                 3.2065,                 2.0474,                 1.1612,                0.17033,                0.21443,                0.13916,                0.05995,                0.18444,                0.18478,                0.13548,                 0.0483,                 2.2625,                 3.1536,                 2.0168,                 1.2277,                7.6e-06,                7.6e-06,                7.6e-06
