                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.2206,                 3.1606,                 1.9027,                 1.2182,                0.36839,                0.24376,                0.21222,                0.09387,                0.35975,                0.23528,                0.20214,                0.07636,                 2.2254,                  3.241,                 1.8912,                 1.2192,              0.0007723,              0.0007723,              0.0007723
                     25,                 2.2138,                 3.1744,                 1.8569,                 1.2047,                0.36024,                0.24412,                0.21125,                0.09435,                0.34959,                0.23151,                0.19882,                0.07485,                 2.2439,                 3.1873,                 1.8727,                 1.2256,              0.0007624,              0.0007624,              0.0007624
                     26,                 2.2318,                 3.1771,                 1.8708,                 1.2069,                0.34391,                0.25154,                 0.2117,                0.09434,                0.34311,                 0.2393,                0.20148,                 0.0776,                 2.2293,                 3.1841,                 1.8675,                 1.2185,              0.0007525,              0.0007525,              0.0007525
                     27,                  2.205,                 3.1507,                 1.8519,                 1.1997,                0.35629,                0.24928,                0.21069,                0.09395,                0.35373,                0.23694,                0.20064,                0.07659,                 2.2274,                 3.1957,                 1.8845,                  1.216,              0.0007426,              0.0007426,              0.0007426
                     28,                 2.1965,                 3.1331,                 1.8357,                 1.2085,                0.38666,                 0.2556,                0.22687,                0.09994,                0.37995,                0.24635,                0.21845,                0.08477,                 2.2218,                 3.1608,                 1.8612,                 1.2225,              0.0007327,              0.0007327,              0.0007327
                     29,                 2.2243,                 3.1673,                 1.9014,                 1.2096,                0.35268,                 0.2447,                 0.2094,                0.09351,                0.34523,                0.23493,                0.19959,                0.07663,                 2.2305,                 3.1612,                 1.9329,                 1.2118,              0.0007228,              0.0007228,              0.0007228
                     30,                 2.2005,                  3.138,                 1.8623,                 1.1952,                0.38315,                 0.2574,                0.22779,                 0.0989,                0.37612,                0.24468,                0.21726,                0.08326,                 2.2276,                 3.1622,                 1.8137,                 1.2159,              0.0007129,              0.0007129,              0.0007129
                     31,                 2.1913,                 3.1404,                 1.8107,                 1.1967,                0.37656,                0.25668,                0.22033,                0.09763,                0.36741,                0.24817,                0.21351,                0.08586,                 2.2306,                 3.1402,                 1.8787,                 1.2218,               0.000703,               0.000703,               0.000703
                     32,                 2.1824,                 3.1245,                 1.8116,                 1.2025,                0.34373,                0.25716,                0.21436,                0.09588,                0.33534,                0.24101,                0.20247,                0.07835,                 2.2111,                 3.1749,                  1.871,                 1.2075,              0.0006931,              0.0006931,              0.0006931
                     33,                 2.1742,                 3.1198,                 1.8076,                 1.1873,                0.40282,                0.26772,                0.23773,                0.10437,                0.39575,                 0.2565,                0.22746,                0.08513,                 2.2003,                 3.1595,                  1.821,                  1.202,              0.0006832,              0.0006832,              0.0006832
